_id,datum,zaehlstelle,uhrzeit_start,uhrzeit_ende,richtung_1,richtung_2,gesamt,min.temp,max.temp,niederschlag,bewoelkung,sonnenstunden,kommentar
652,2014-10-14,Erhardt,00:00,23:59,2325,2464,4789,7.5,19.2,1.3,60,8,NA
653,2014-10-15,Erhardt,00:00,23:59,1733,1837,3570,8.1,18.1,0.4,93,1.5,NA
654,2014-10-16,Erhardt,00:00,23:59,1476,1600,3076,12.4,19.3,7.3,94,1.5,NA
655,2014-10-17,Erhardt,00:00,23:59,911,1035,1946,6.4,14.4,7.9,83,0,NA
656,2014-10-18,Erhardt,00:00,23:59,2188,2250,4438,4.4,17.3,0,44,6.3,NA
657,2014-10-19,Erhardt,00:00,23:59,3331,3260,6591,4.3,23.3,0,55,9.6,NA
658,2014-10-20,Erhardt,00:00,23:59,2122,2255,4377,10.2,22.9,25.2,78,3.4,NA
659,2014-10-21,Erhardt,00:00,23:59,1270,1394,2664,7.3,17.1,10.4,86,2.1,NA
660,2014-10-22,Erhardt,00:00,23:59,847,985,1832,4.6,7.4,15.5,94,0,NA
661,2014-10-23,Erhardt,00:00,23:59,891,947,1838,6.7,8.2,0,100,0,NA
662,2014-10-24,Erhardt,00:00,23:59,1359,1571,2930,0.8,11.4,0,80,5.3,NA
663,2014-10-25,Erhardt,00:00,23:59,1002,986,1988,0.5,9,4.3,91,1.1,NA
664,2014-10-26,Erhardt,00:00,23:59,1520,1516,3036,6.5,10.3,0,98,0,NA
665,2014-10-27,Erhardt,00:00,23:59,1332,1429,2761,5,6.6,0,100,0,NA
666,2014-10-28,Erhardt,00:00,23:59,1407,1525,2932,5.4,6.6,0,99,0,NA
667,2014-10-29,Erhardt,00:00,23:59,1535,1688,3223,1.3,13.1,0,73,3.5,NA
668,2014-10-30,Erhardt,00:00,23:59,1204,1326,2530,0.7,10.3,0,93,0,NA
669,2014-10-31,Erhardt,00:00,23:59,1430,1616,3046,4.1,12.9,0,85,1.3,NA
670,2014-11-01,Erhardt,00:00,23:59,1545,1444,2989,3.1,15,0,66,6.4,NA
671,2014-11-02,Erhardt,00:00,23:59,2074,2020,4094,1,17.9,0,53,8.5,NA
672,2014-11-03,Erhardt,00:00,23:59,1975,2183,4158,0,15.2,0,43,9.2,NA
673,2014-11-04,Erhardt,00:00,23:59,2174,2354,4528,1.3,21.6,0,55,7.3,NA
674,2014-11-05,Erhardt,00:00,23:59,1495,1526,3021,5.7,13.3,4.8,90,0,NA
675,2014-11-06,Erhardt,00:00,23:59,847,864,1711,2,5.9,5.5,100,0,NA
676,2014-11-07,Erhardt,00:00,23:59,1321,1455,2776,3.1,7.9,0,91,0,NA
677,2014-11-08,Erhardt,00:00,23:59,1295,1320,2615,1.7,12.3,0,54,7.1,NA
678,2014-11-09,Erhardt,00:00,23:59,1357,1270,2627,6,8.2,0,100,0,NA
679,2014-11-10,Erhardt,00:00,23:59,1528,1643,3171,6.2,7.8,0,100,0,NA
680,2014-11-11,Erhardt,00:00,23:59,1598,1703,3301,3.4,9.2,0,86,0,NA
681,2014-11-12,Erhardt,00:00,23:59,1701,1797,3498,2.9,12.3,0.1,88,2.9,NA
682,2014-11-13,Erhardt,00:00,23:59,1546,1679,3225,7.2,9.7,0.1,100,0,NA
683,2014-11-14,Erhardt,00:00,23:59,1354,1472,2826,6.6,8.3,0,100,0,NA
684,2014-11-15,Erhardt,00:00,23:59,772,866,1638,5.6,8.3,0,98,0,NA
685,2014-11-16,Erhardt,00:00,23:59,858,889,1747,-0.2,11.1,0,59,3.2,NA
686,2014-11-17,Erhardt,00:00,23:59,1392,1510,2902,-1.7,7.6,7.8,84,0,NA
687,2014-11-18,Erhardt,00:00,23:59,674,711,1385,4.8,7.1,18.1,100,0,NA
688,2014-11-19,Erhardt,00:00,23:59,1084,1211,2295,2.7,7.1,0.1,100,0,NA
689,2014-11-20,Erhardt,00:00,23:59,1431,1493,2924,0.7,7,0,91,0.6,NA
690,2014-11-21,Erhardt,00:00,23:59,1271,1419,2690,-0.5,5.7,0,91,0,NA
691,2014-11-22,Erhardt,00:00,23:59,946,962,1908,1.2,9,0.2,66,3.2,NA
692,2014-11-23,Erhardt,00:00,23:59,643,671,1314,0.9,3.9,0,98,0,NA
693,2014-11-24,Erhardt,00:00,23:59,1441,1564,3005,1.8,7.7,0,94,1.2,NA
694,2014-11-25,Erhardt,00:00,23:59,1400,1498,2898,3.5,8.2,0,89,1,NA
695,2014-11-26,Erhardt,00:00,23:59,1337,1441,2778,2.5,3.5,0,100,0,NA
696,2014-11-27,Erhardt,00:00,23:59,1280,1403,2683,1.3,5.8,0,91,2.2,NA
697,2014-11-28,Erhardt,00:00,23:59,1113,1230,2343,0.3,1.6,0,100,0,NA
698,2014-11-29,Erhardt,00:00,23:59,575,578,1153,0.5,1.6,0,100,0,NA
699,2014-11-30,Erhardt,00:00,23:59,431,514,945,0.7,2.2,0,100,0,NA
700,2014-12-01,Erhardt,00:00,23:59,991,1068,2059,2,3.6,1.1,100,0,NA
701,2014-12-02,Erhardt,00:00,23:59,1065,1168,2233,1.7,2.7,0.4,100,0,NA
702,2014-12-03,Erhardt,00:00,23:59,1210,1293,2503,1.5,2.6,0,100,0,NA
703,2014-12-04,Erhardt,00:00,23:59,1277,1289,2566,2.4,3.5,0,100,0,NA
704,2014-12-05,Erhardt,00:00,23:59,1034,1118,2152,1.5,2.9,0,100,0,NA
705,2014-12-06,Erhardt,00:00,23:59,469,527,996,1.5,3.3,1.2,100,0,NA
706,2014-12-07,Erhardt,00:00,23:59,349,397,746,2.5,3.9,0.7,100,0,NA
707,2014-12-08,Erhardt,00:00,23:59,936,1011,1947,-1.5,3.6,0.2,98,0,NA
708,2014-12-09,Erhardt,00:00,23:59,1174,1256,2430,-4,-0.3,0,93,0,NA
709,2014-12-10,Erhardt,00:00,23:59,1190,1259,2449,-2.4,3.1,0.7,96,0.5,NA
710,2014-12-11,Erhardt,00:00,23:59,1070,1230,2300,2.1,7,0,91,0.4,NA
711,2014-12-12,Erhardt,00:00,23:59,1212,1268,2480,-0.4,9.4,0,85,4.8,NA
712,2014-12-13,Erhardt,00:00,23:59,755,848,1603,-0.6,10.7,0,79,1.7,NA
713,2014-12-14,Erhardt,00:00,23:59,849,830,1679,2.2,12.9,0,88,1.4,NA
714,2014-12-15,Erhardt,00:00,23:59,1174,1222,2396,4.6,9.7,0.2,100,0,NA
715,2014-12-16,Erhardt,00:00,23:59,873,909,1782,4.7,8,1.6,100,0,NA
716,2014-12-17,Erhardt,00:00,23:59,949,1105,2054,2.2,6.1,7.2,98,0.1,NA
717,2014-12-18,Erhardt,00:00,23:59,996,1070,2066,5.7,11.5,1.4,98,0,NA
718,2014-12-19,Erhardt,00:00,23:59,1178,1220,2398,7.7,13.4,9,79,4.5,NA
719,2014-12-20,Erhardt,00:00,23:59,599,615,1214,1.9,8.1,3.5,74,2.7,NA
720,2014-12-21,Erhardt,00:00,23:59,504,540,1044,1.2,6.2,0,93,3,NA
721,2014-12-22,Erhardt,00:00,23:59,965,1083,2048,2,9.8,0,83,4.4,NA
722,2014-12-23,Erhardt,00:00,23:59,882,914,1796,-2.9,11.9,0,56,6.7,NA
723,2014-12-24,Erhardt,00:00,23:59,356,347,703,-4.6,8.3,0,31,6.5,NA
724,2014-12-25,Erhardt,00:00,23:59,116,128,244,1.6,8,1.2,96,0,NA
725,2014-12-26,Erhardt,00:00,23:59,110,135,245,-6.5,2.4,1.7,71,1.7,NA
726,2014-12-27,Erhardt,00:00,23:59,68,83,151,-4.2,1.7,2.9,91,0,NA
727,2014-12-28,Erhardt,00:00,23:59,62,74,136,-15.6,0.4,0.2,81,0,NA
728,2014-12-29,Erhardt,00:00,23:59,75,79,154,-16.1,-3.3,0.2,88,0,NA
729,2014-12-30,Erhardt,00:00,23:59,67,87,154,-5.3,-0.5,3.4,100,0,NA
730,2014-12-31,Erhardt,00:00,23:59,66,80,146,-2.5,0.1,0,98,0,NA
731,2014-01-01,Hirsch,00:00,23:59,74,65,139,-5.6,1.8,0,85,1.6,NA
732,2014-01-02,Hirsch,00:00,23:59,132,132,264,-3.9,5.9,0,78,0,NA
733,2014-01-03,Hirsch,00:00,23:59,153,162,315,-4,8,0,75,1.8,NA
734,2014-01-04,Hirsch,00:00,23:59,74,74,148,1,5.9,3,98,0,NA
735,2014-01-05,Hirsch,00:00,23:59,60,68,128,-0.6,5.9,1.2,94,0.2,NA
736,2014-01-06,Hirsch,00:00,23:59,139,126,265,-4.2,8.2,0,45,6.9,NA
737,2014-01-07,Hirsch,00:00,23:59,335,350,685,-0.4,14.1,0.8,58,0,NA
738,2014-01-08,Hirsch,00:00,23:59,386,391,777,-0.4,14.5,0,66,4.9,NA
739,2014-01-09,Hirsch,00:00,23:59,319,379,698,-2.2,14.5,5.5,83,2,NA
740,2014-01-10,Hirsch,00:00,23:59,237,286,523,-2.5,7.4,0,66,3.8,NA
741,2014-01-11,Hirsch,00:00,23:59,113,137,250,-4,7.6,1.1,80,1.3,NA
742,2014-01-12,Hirsch,00:00,23:59,155,167,322,-4.6,6.2,0,65,4.7,NA
743,2014-01-13,Hirsch,00:00,23:59,306,347,653,-6.6,3.1,0.3,75,2.2,NA
744,2014-01-14,Hirsch,00:00,23:59,175,177,352,-0.2,2.4,9.1,99,0,NA
745,2014-01-15,Hirsch,00:00,23:59,243,231,474,-0.5,4.2,0,71,4.3,NA
746,2014-01-16,Hirsch,00:00,23:59,270,294,564,-0.7,6,0,94,0.3,NA
747,2014-01-17,Hirsch,00:00,23:59,162,205,367,1.9,5.9,5,98,0,NA
748,2014-01-18,Hirsch,00:00,23:59,107,106,213,0.3,3.1,0,100,0,NA
749,2014-01-19,Hirsch,00:00,23:59,106,78,184,1,2.8,0,99,0,NA
750,2014-01-20,Hirsch,00:00,23:59,227,254,481,0.7,3.3,2.7,100,0,NA
751,2014-01-21,Hirsch,00:00,23:59,138,158,296,0.6,3.3,3.3,99,0,NA
752,2014-01-22,Hirsch,00:00,23:59,233,257,490,1.8,4.4,0,98,0,NA
753,2014-01-23,Hirsch,00:00,23:59,266,281,547,-1,6,2.8,90,2,NA
754,2014-01-24,Hirsch,00:00,23:59,144,172,316,0.6,4,1,96,0,NA
755,2014-01-25,Hirsch,00:00,23:59,113,135,248,-0.2,3.3,3.3,96,0.2,NA
756,2014-01-26,Hirsch,00:00,23:59,52,36,88,-0.3,2.4,6.1,91,0,NA
757,2014-01-27,Hirsch,00:00,23:59,160,157,317,-2.1,3,0.6,90,0.2,NA
758,2014-01-28,Hirsch,00:00,23:59,211,229,440,-6,-0.4,0,88,0,NA
759,2014-01-29,Hirsch,00:00,23:59,209,236,445,-3.1,-0.7,0,100,0,NA
760,2014-01-30,Hirsch,00:00,23:59,210,246,456,-3.9,-0.4,0,96,0,NA
761,2014-01-31,Hirsch,00:00,23:59,203,227,430,-5.3,1.8,0,68,2.1,NA
762,2014-02-01,Hirsch,00:00,23:59,126,144,270,-6.6,4.7,0,53,6,NA
763,2014-02-02,Hirsch,00:00,23:59,40,38,78,-3.4,2.4,4,96,0,NA
764,2014-02-03,Hirsch,00:00,23:59,193,220,413,-0.5,0.7,0,100,0,NA
765,2014-02-04,Hirsch,00:00,23:59,247,265,512,-0.8,1.2,0,100,0,NA
766,2014-02-05,Hirsch,00:00,23:59,243,278,521,-1.8,3.9,0,99,0,NA
767,2014-02-06,Hirsch,00:00,23:59,319,335,654,1.8,10.5,0,49,8.9,NA
768,2014-02-07,Hirsch,00:00,23:59,215,286,501,-1.2,13,0,74,2.8,NA
769,2014-02-08,Hirsch,00:00,23:59,160,194,354,-1.8,10.6,0.1,76,6.1,NA
770,2014-02-09,Hirsch,00:00,23:59,95,93,188,-2.1,6.9,0.5,74,0.1,NA
771,2014-02-10,Hirsch,00:00,23:59,234,256,490,-4.5,9.5,0.2,73,0,NA
772,2014-02-11,Hirsch,00:00,23:59,279,287,566,-3.6,8,0,59,3.5,NA
773,2014-02-12,Hirsch,00:00,23:59,278,279,557,-5.9,5.8,0.5,41,3.8,NA
774,2014-02-13,Hirsch,00:00,23:59,259,290,549,-3.3,10,0.3,76,4.6,NA
775,2014-02-14,Hirsch,00:00,23:59,211,267,478,-0.9,8.9,0,53,6.9,NA
776,2014-02-15,Hirsch,00:00,23:59,171,253,424,-0.4,16.8,1,86,4.8,NA
777,2014-02-16,Hirsch,00:00,23:59,63,50,113,3.1,6.8,0.3,99,0,NA
778,2014-02-17,Hirsch,00:00,23:59,286,300,586,-2.1,8.7,0,70,5,NA
779,2014-02-18,Hirsch,00:00,23:59,318,347,665,-3.4,7.7,0.3,81,4.2,NA
780,2014-02-19,Hirsch,00:00,23:59,220,236,456,-0.7,8.2,0.1,98,0,NA
781,2014-02-20,Hirsch,00:00,23:59,346,368,714,-3.1,10.5,0.2,51,5.5,NA
782,2014-02-21,Hirsch,00:00,23:59,167,179,346,-4.7,8,2.6,88,0,NA
783,2014-02-22,Hirsch,00:00,23:59,132,161,293,-1.2,8.8,0,69,4.2,NA
784,2014-02-23,Hirsch,00:00,23:59,191,230,421,-0.4,9.2,0,45,5.7,NA
785,2014-02-24,Hirsch,00:00,23:59,385,400,785,-3.5,11.6,0,6,10.4,NA
786,2014-02-25,Hirsch,00:00,23:59,399,437,836,-6.2,12.4,0,31,9.2,NA
787,2014-02-26,Hirsch,00:00,23:59,331,362,693,-4,11.8,0,76,7.5,NA
788,2014-02-27,Hirsch,00:00,23:59,304,317,621,-1.4,8.5,1.1,78,4.7,NA
789,2014-02-28,Hirsch,00:00,23:59,280,328,608,-2.6,11,0,61,8.7,NA
790,2014-03-01,Hirsch,00:00,23:59,117,152,269,-5.6,6.6,0,63,3.7,NA
791,2014-03-02,Hirsch,00:00,23:59,181,237,418,-2.2,7.2,0,85,0,NA
792,2014-03-03,Hirsch,00:00,23:59,251,324,575,-1.6,9.8,0,84,4,NA
793,2014-03-04,Hirsch,00:00,23:59,208,229,437,0,7.9,0,91,1.4,NA
794,2014-03-05,Hirsch,00:00,23:59,198,228,426,1,10,1.6,89,1.9,NA
795,2014-03-06,Hirsch,00:00,23:59,270,302,572,-3.7,10.1,0,43,5,NA
796,2014-03-07,Hirsch,00:00,23:59,273,331,604,-4.4,11.4,0,24,9.7,NA
797,2014-03-08,Hirsch,00:00,23:59,296,310,606,-2.3,13.3,0,25,9.9,NA
798,2014-03-09,Hirsch,00:00,23:59,344,410,754,-4,14.8,0,5,10.9,NA
799,2014-03-10,Hirsch,00:00,23:59,418,425,843,-2.3,13.6,0,15,10.9,NA
800,2014-03-11,Hirsch,00:00,23:59,449,458,907,-5,13.6,0,40,10.2,NA
801,2014-03-12,Hirsch,00:00,23:59,455,498,953,-4.2,16.2,0,0,11,NA
802,2014-03-13,Hirsch,00:00,23:59,455,484,939,-4,16.6,0,0,11.2,NA
803,2014-03-14,Hirsch,00:00,23:59,425,504,929,-3.1,17.5,0,0,10.7,NA
804,2014-03-15,Hirsch,00:00,23:59,97,118,215,2.6,12.8,0.7,79,0.8,NA
805,2014-03-16,Hirsch,00:00,23:59,75,73,148,5.5,12.7,0.1,95,0,NA
806,2014-03-17,Hirsch,00:00,23:59,456,501,957,1.2,18,0,43,10.5,NA
807,2014-03-18,Hirsch,00:00,23:59,527,569,1096,-1.1,19.1,0,69,9.1,NA
808,2014-03-19,Hirsch,00:00,23:59,363,415,778,0.1,13.5,0.1,80,1.9,NA
809,2014-03-20,Hirsch,00:00,23:59,572,596,1168,-2.8,19.5,0,39,11.4,NA
810,2014-03-21,Hirsch,00:00,23:59,481,558,1039,-1.6,21.7,0,56,10.7,NA
811,2014-03-22,Hirsch,00:00,23:59,211,243,454,2,18.4,8.5,90,4.6,NA
812,2014-03-23,Hirsch,00:00,23:59,27,27,54,2.4,5.6,7.8,100,0,NA
813,2014-03-24,Hirsch,00:00,23:59,246,278,524,1.9,7.5,0.7,94,2.3,NA
814,2014-03-25,Hirsch,00:00,23:59,276,328,604,-3.4,7.8,0,70,3.4,NA
815,2014-03-26,Hirsch,00:00,23:59,305,310,615,-4,10.2,0,56,8.3,NA
816,2014-03-27,Hirsch,00:00,23:59,445,451,896,-2.3,14.1,0,28,11.9,NA
817,2014-03-28,Hirsch,00:00,23:59,473,509,982,-1.4,15.4,0,19,11.3,NA
818,2014-03-29,Hirsch,00:00,23:59,331,381,712,-0.6,17.3,0,11,11.9,NA
819,2014-03-30,Hirsch,00:00,23:59,447,444,891,-2.6,19.7,0,40,10.8,NA
820,2014-03-31,Hirsch,00:00,23:59,507,504,1011,-0.8,18.2,0,85,3.6,NA
821,2014-04-01,Hirsch,00:00,23:59,539,597,1136,1,18.2,0,86,8.9,NA
822,2014-04-02,Hirsch,00:00,23:59,590,622,1212,0.8,21.2,0,54,10.4,NA
823,2014-04-03,Hirsch,00:00,23:59,617,638,1255,2,21.3,0,84,6.3,NA
824,2014-04-04,Hirsch,00:00,23:59,477,537,1014,5.9,17.6,0,90,2.6,NA
825,2014-04-05,Hirsch,00:00,23:59,231,263,494,3.8,15.8,0,89,0.4,NA
826,2014-04-06,Hirsch,00:00,23:59,231,210,441,4.6,16.6,5.3,75,1.1,NA
827,2014-04-07,Hirsch,00:00,23:59,626,661,1287,4.6,20.2,0.5,66,10.2,NA
828,2014-04-08,Hirsch,00:00,23:59,314,353,667,6,16.2,1.9,90,0.2,NA
829,2014-04-09,Hirsch,00:00,23:59,462,472,934,4,13,0.4,70,7.3,NA
830,2014-04-10,Hirsch,00:00,23:59,307,324,631,6.7,10.9,0,99,0,NA
831,2014-04-11,Hirsch,00:00,23:59,456,486,942,1.7,13.6,0,73,3.4,NA
832,2014-04-12,Hirsch,00:00,23:59,316,337,653,-0.3,17.1,0,73,8.5,NA
833,2014-04-13,Hirsch,00:00,23:59,355,391,746,3.9,16.8,0,64,5.8,NA
834,2014-04-14,Hirsch,00:00,23:59,349,387,736,4.6,12.5,0.8,74,3.3,NA
835,2014-04-15,Hirsch,00:00,23:59,332,370,702,2.2,6.1,0,88,0.5,NA
836,2014-04-16,Hirsch,00:00,23:59,314,350,664,-1.8,10.2,0,66,2.8,NA
837,2014-04-17,Hirsch,00:00,23:59,404,397,801,-5.3,11.8,0,29,12.3,NA
838,2014-04-18,Hirsch,00:00,23:59,54,52,106,-3.7,9.9,6.8,89,0.1,NA
839,2014-04-19,Hirsch,00:00,23:59,138,134,272,3.7,15.5,0,80,4.6,NA
840,2014-04-20,Hirsch,00:00,23:59,176,142,318,3.6,15.9,0,49,9.1,NA
841,2014-04-21,Hirsch,00:00,23:59,206,200,406,2.4,17.2,10.8,85,3.7,NA
842,2014-04-22,Hirsch,00:00,23:59,371,393,764,5.8,18.8,0,74,5.7,NA
843,2014-04-23,Hirsch,00:00,23:59,567,574,1141,3.1,20.4,0,15,12.8,NA
844,2014-04-24,Hirsch,00:00,23:59,604,597,1201,3.2,20.5,0,19,12.3,NA
845,2014-04-25,Hirsch,00:00,23:59,548,577,1125,5.4,21,0,33,12.7,NA
846,2014-04-26,Hirsch,00:00,23:59,288,327,615,7.7,19.1,2.3,71,6.1,NA
847,2014-04-27,Hirsch,00:00,23:59,57,58,115,8.2,12.3,3.6,99,0,NA
848,2014-04-28,Hirsch,00:00,23:59,327,385,712,6.7,14,0,91,1.7,NA
849,2014-04-29,Hirsch,00:00,23:59,355,416,771,4.8,15.9,0,79,1.8,NA
850,2014-04-30,Hirsch,00:00,23:59,455,479,934,3.1,19.2,0,63,9.2,NA
851,2014-05-01,Hirsch,00:00,23:59,399,432,831,10,18.8,15.9,74,5.9,NA
852,2014-05-02,Hirsch,00:00,23:59,224,260,484,8.1,16.8,0.2,93,1.4,NA
853,2014-05-03,Hirsch,00:00,23:59,94,91,185,5.2,8.1,0,100,0,NA
854,2014-05-04,Hirsch,00:00,23:59,274,291,565,1,12.8,0,66,7.3,NA
855,2014-05-05,Hirsch,00:00,23:59,627,628,1255,-0.7,16.9,0,54,13,NA
856,2014-05-06,Hirsch,00:00,23:59,607,659,1266,1.1,22.7,0,85,9,NA
857,2014-05-07,Hirsch,00:00,23:59,221,235,456,0,0,0,90,0,NA
858,2014-05-08,Hirsch,00:00,23:59,574,590,1164,8,19.5,2.7,84,7.8,NA
859,2014-05-09,Hirsch,00:00,23:59,336,348,684,11.4,20.1,3.8,85,3,NA
860,2014-05-10,Hirsch,00:00,23:59,288,312,600,10.3,20.3,2.3,85,6,NA
861,2014-05-11,Hirsch,00:00,23:59,192,166,358,7.4,17.3,0,78,4.2,NA
862,2014-05-12,Hirsch,00:00,23:59,408,450,858,7,13.5,1.8,76,7.3,NA
863,2014-05-13,Hirsch,00:00,23:59,382,395,777,5.8,13.5,10.4,88,4.9,NA
864,2014-05-14,Hirsch,00:00,23:59,342,343,685,5.7,12.9,0,75,5.7,NA
865,2014-05-15,Hirsch,00:00,23:59,356,367,723,2.5,13.1,0.4,86,2,NA
866,2014-05-16,Hirsch,00:00,23:59,385,390,775,7.2,13.1,7.4,91,1.2,NA
867,2014-05-17,Hirsch,00:00,23:59,161,182,343,7.8,14.9,1.2,98,2.2,NA
868,2014-05-18,Hirsch,00:00,23:59,291,356,647,5.4,17.6,0,65,4.4,NA
869,2014-05-19,Hirsch,00:00,23:59,669,712,1381,4.4,23,0,48,7.6,NA
870,2014-05-20,Hirsch,00:00,23:59,791,825,1616,5.5,24.6,0,35,12.9,NA
871,2014-05-21,Hirsch,00:00,23:59,786,829,1615,6.8,26.2,0,60,13.3,NA
872,2014-05-22,Hirsch,00:00,23:59,705,787,1492,10.1,28.8,0,41,12.8,NA
873,2014-05-23,Hirsch,00:00,23:59,515,598,1113,9.3,16.8,3.8,73,2.6,NA
874,2014-05-24,Hirsch,00:00,23:59,304,313,617,7.1,19.9,0,31,10,NA
875,2014-05-25,Hirsch,00:00,23:59,382,406,788,6,23.9,0.5,60,9.7,NA
876,2014-05-26,Hirsch,00:00,23:59,470,532,1002,13.2,23.5,32.1,90,4.7,NA
877,2014-05-27,Hirsch,00:00,23:59,290,322,612,12,17,10,91,0.3,NA
878,2014-05-28,Hirsch,00:00,23:59,383,398,781,10.6,15.4,0.8,98,0.2,NA
879,2014-05-29,Hirsch,00:00,23:59,180,193,373,8.2,15.5,7.8,98,1.7,NA
880,2014-05-30,Hirsch,00:00,23:59,256,291,547,2.8,12.1,0,71,0.9,NA
881,2014-05-31,Hirsch,00:00,23:59,334,357,691,0.8,18.3,0,38,8.4,NA
882,2014-06-01,Hirsch,00:00,23:59,410,408,818,5.1,19.7,0,54,8.9,NA
883,2014-06-02,Hirsch,00:00,23:59,581,643,1224,3.9,20,0,51,8,NA
884,2014-06-03,Hirsch,00:00,23:59,613,653,1266,6.1,20.6,0.3,36,8.8,NA
885,2014-06-04,Hirsch,00:00,23:59,549,605,1154,5.3,22.1,3,65,9.3,NA
886,2014-06-05,Hirsch,00:00,23:59,617,660,1277,8.4,24,0,63,7.9,NA
887,2014-06-06,Hirsch,00:00,23:59,612,681,1293,5.7,25.7,0,25,14.3,NA
888,2014-06-07,Hirsch,00:00,23:59,332,382,714,8.5,28.5,0,31,14.1,NA
889,2014-06-08,Hirsch,00:00,23:59,306,294,600,10.6,30.1,0,4,14.7,NA
890,2014-06-09,Hirsch,00:00,23:59,257,276,533,11.1,31.3,0,4,14,NA
891,2014-06-10,Hirsch,00:00,23:59,549,613,1162,12.2,32.5,0,31,13.4,NA
892,2014-06-11,Hirsch,00:00,23:59,487,538,1025,17.2,30,0,61,11.2,NA
893,2014-06-12,Hirsch,00:00,23:59,526,577,1103,15,27.7,0,60,13.3,NA
894,2014-06-13,Hirsch,00:00,23:59,509,540,1049,13.2,25.2,0,64,8.7,NA
895,2014-06-14,Hirsch,00:00,23:59,247,312,559,10.5,21.6,0,70,6.9,NA
896,2014-06-15,Hirsch,00:00,23:59,401,400,801,8.2,21,0,48,11,NA
897,2014-06-16,Hirsch,00:00,23:59,572,629,1201,9.7,21.8,0,41,0,NA
898,2014-06-17,Hirsch,00:00,23:59,504,570,1074,9.8,21.5,0,86,4.6,NA
899,2014-06-18,Hirsch,00:00,23:59,568,612,1180,9.1,23.8,0,34,13.9,NA
900,2014-06-19,Hirsch,00:00,23:59,353,376,729,8,24.4,1.7,50,13.7,NA
901,2014-06-20,Hirsch,00:00,23:59,226,247,473,6.5,18.1,0.7,79,3.8,NA
902,2014-06-21,Hirsch,00:00,23:59,313,315,628,6.3,20.9,0,51,10.4,NA
903,2014-06-22,Hirsch,00:00,23:59,351,379,730,6,25.1,0,38,14.8,NA
904,2014-06-23,Hirsch,00:00,23:59,656,724,1380,7.5,25.4,3.8,51,11.7,NA
905,2014-06-24,Hirsch,00:00,23:59,321,298,619,12.6,21.9,0.8,65,7.3,NA
906,2014-06-25,Hirsch,00:00,23:59,579,623,1202,8.6,19.2,12,66,4,NA
907,2014-06-26,Hirsch,00:00,23:59,694,764,1458,4.4,21.9,0,24,14,NA
908,2014-06-27,Hirsch,00:00,23:59,599,675,1274,7.1,25.9,0,68,11.7,NA
909,2014-06-28,Hirsch,00:00,23:59,419,434,853,15,28,8.5,85,8.8,NA
910,2014-06-29,Hirsch,00:00,23:59,50,42,92,11.6,16.8,12.9,100,0,NA
911,2014-06-30,Hirsch,00:00,23:59,345,405,750,9.2,17.9,5.9,81,3.5,NA
912,2014-07-01,Hirsch,00:00,23:59,709,715,1424,7.6,21.7,0,56,9.1,NA
913,2014-07-02,Hirsch,00:00,23:59,430,480,910,9.4,17.8,3.8,75,0.7,NA
914,2014-07-03,Hirsch,00:00,23:59,713,802,1515,7.8,25.2,0,40,14.9,NA
915,2014-07-04,Hirsch,00:00,23:59,589,688,1277,7.6,27.7,0,64,11,NA
916,2014-07-05,Hirsch,00:00,23:59,281,288,569,15.3,24.7,5.6,85,3.5,NA
917,2014-07-06,Hirsch,00:00,23:59,360,381,741,13,28.8,6.8,48,14.4,NA
918,2014-07-07,Hirsch,00:00,23:59,486,528,1014,15,25.3,0.4,85,0,NA
919,2014-07-08,Hirsch,00:00,23:59,288,377,665,12.7,20.4,16.9,95,0,NA
920,2014-07-09,Hirsch,00:00,23:59,217,183,400,11.1,14.9,1.2,96,0,NA
921,2014-07-10,Hirsch,00:00,23:59,372,412,784,10.6,16,5.6,100,0,NA
922,2014-07-11,Hirsch,00:00,23:59,384,380,764,12.3,21.2,0,85,2.9,NA
923,2014-07-12,Hirsch,00:00,23:59,183,203,386,14.1,21.6,8.7,90,2.8,NA
924,2014-07-13,Hirsch,00:00,23:59,296,349,645,14.1,23.5,0.1,85,7.1,NA
925,2014-07-14,Hirsch,00:00,23:59,568,568,1136,12.5,23.8,0,74,9.3,NA
926,2014-07-15,Hirsch,00:00,23:59,728,767,1495,12.9,25.4,0,59,12.6,NA
927,2014-07-16,Hirsch,00:00,23:59,771,830,1601,12.5,27.6,0,48,11.9,NA
928,2014-07-17,Hirsch,00:00,23:59,753,759,1512,14,27.9,0,39,9.7,NA
929,2014-07-18,Hirsch,00:00,23:59,610,733,1343,12,29.3,0,13,14.3,NA
930,2014-07-19,Hirsch,00:00,23:59,324,336,660,11.2,31.3,0,25,14.1,NA
931,2014-07-20,Hirsch,00:00,23:59,243,276,519,13.9,31.5,0.2,74,7.9,NA
932,2014-07-21,Hirsch,00:00,23:59,267,389,656,15.9,20.2,58,95,1.1,NA
933,2014-07-22,Hirsch,00:00,23:59,273,270,543,14.5,22,8,96,0.5,NA
934,2014-07-23,Hirsch,00:00,23:59,645,667,1312,12.4,26.3,0,49,10.3,NA
935,2014-07-24,Hirsch,00:00,23:59,711,745,1456,9.7,24.9,2,48,9.7,NA
936,2014-07-25,Hirsch,00:00,23:59,664,730,1394,10.1,26.7,0,40,11.9,NA
937,2014-07-26,Hirsch,00:00,23:59,282,322,604,11.4,27,4.5,83,8.1,NA
